Jogo;Dia;Hora;Prova;Série;Equipas;Pavilhão;1º Árbitro;2º Árbitro;juiz_linha;juiz_linha2
1862;27/05/2023;15:00;TAP INF F;2ªFASE;GRC_ BOM RETIRO - CN_GINÁSTICA B;ESC. SEC. REYNALDO DOS SANTOS;PAULO DUQUE;;;
1951;27/05/2023;17:00;TAP INIC F;2ªFASE;SPORTING_CP - CD_ALVERCA V;MULTIDESPORTIVO SCP;PEDRO MATOS;;;
1847;27/05/2023;19:00;TAP INF F;2ªFASE;SPORTING_CP - SC_CALDAS;MULTIDESPORTIVO SCP;PEDRO MATOS;;;
2691;27/05/2023;19:00;CNMINF;C;CVO - SOM;PAV. MUN. SÃO JULIÃO DA BARRA;RODRIGO ANDRADE;;;
1812;27/05/2023;14:30;TAP INF F;2ªFASE;GD_SESIMBRA - ESM_TORRES;PAV. MUN. SAMPAIO;RUI CASTANHEIRA;;;
1978;27/05/2023;16:30;TAP INIC F;2ªFASE;GD_SESIMBRA - CF_BELENENSES B;PAV. MUN. SAMPAIO;RUI CASTANHEIRA;;;
2635;27/05/2023;15:00;CNFINF;D;CVO - LOUSÃ_VC;PAV. MUN. SÃO JULIÃO DA BARRA;SAMUEL PATRÃO;;;
1432;27/05/2023;17:00;TAP JUV F;2ªFASE;CV_OEIRAS - CR_PIEDENSE;PAV. MUN. SÃO JULIÃO DA BARRA;SAMUEL PATRÃO;;;
1376;28/05/2023;16:00;TAP JUNIOR;2ªFASE;TC_ALCOCHETE - MTBA;Pav. Desportivo do Samouco;ALEXANDRE RIBEIRO;;;
1823;28/05/2023;15:00;TAP INF F;2ªFASE;CD_ALVERCA V A - LOBATOS_V;ESC. SEC. GAGO COUTINHO;ANDRÉ CORREIA;;;
1715;28/05/2023;17:00;TAP CAD F;2ªFASE;CDAV - CDMC;ESC. SEC. GAGO COUTINHO;ANDRÉ CORREIA;;;
2616;28/05/2023;17:00;CNFINF;C;MT - LVC;ESC. SEC. MADEIRA TORRES;CARLOS SILVA;;;
1952;28/05/2023;11:00;TAP INIC F;2ªFASE;CP_ARRUPE - AV_PRAIA;COL. PEDRO ARRUPE;CATARINA RODRIGUES;;;
1447;28/05/2023;15:00;TAP JUV F;2ªFASE;CP_ARRUPE - EF_LENCASTRE;COL. PEDRO ARRUPE;CATARINA RODRIGUES;;;
1937;28/05/2023;16:00;TAP INIC F;2ªFASE;ESTORIL_P - CSJ_BRITO;COL. AMOR DE DEUS;GABRIEL RIBEIRO;;;
1967;28/05/2023;11:00;TAP INIC F;2ªFASE;GDS_CASCAIS - ODIVELAS_SC A;PAV. GUILHERME PINTO BASTO;GONÇALO RAMOS;;;
1950;28/05/2023;15:00;TAP INIC F;2ªFASE;FAMÕES_CA A - TC_ALCOCHETE;ESC. SEC. BRAAMCAAMP FREIRE;HUGO CRUZ;;;
1458;28/05/2023;17:00;TAP JUV F;2ªFASE;ODIVELAS_SC - ESM_TORRES;ESC. SEC. BRAAMCAAMP FREIRE;HUGO CRUZ;;;
