Jogo;Dia;Hora;Prova;Série;Equipas;Pavilhão;1º Árbitro;2º Árbitro;juiz_linha;juiz_linha2
645;04/02/2023;17:00;CNJB1F;ÚNICA;LOBATOS_V - SC_ARCOZELO;ESC PEDRO EANES LOBATO;NICOLE SOUSA;;;
1098;05/02/2023;15:00;CRFJUV;2ªF - A;V4A - SCP;Esc Sec Cascais;NICOLE SOUSA;;;
1021;04/02/2023;17:00;CRFINI;2ªF - E;EP A - OSC;COL AMOR DE DEUS;PAULO DUQUE;;;
1194;05/02/2023;13:00;CRFJUN;2ªF - B;EFL - CFB;ESC FILIPA DE LENCASTRE;PAULO DUQUE;;;
1213;05/02/2023;18:00;CRFJUN;2ªF - C;CPA - CDAV;COL PEDRO ARRUPE;PAULO DUQUE;;;
932;04/02/2023;12:00;CRFINI;2ªF - B;AVP - SV B;PAV MUN ARANGUEZ;PEDRO MOUTA;;;
243;04/02/2023;15:00;CRMJun;ÚNICA;VC_SETUBAL - GDR_BOM RETIRO;PAV MUN ARANGUEZ;PEDRO MOUTA;;;
1214;05/02/2023;16:00;CRFJUN;2ªF - C;CVL - CNG;ESC SEC CAMILO CASTELO BRANCO;PEDRO MOUTA;;;
900;04/02/2023;15:00;CRFINI;2ªF - A;LVC B - SLB;PAV PROFESSOR TEOTÓNIO LIMA;RICARDO MADEIRA;;;
1083;04/02/2023;15:00;CRFCAD;2ªF - D;CVO - VCS;PAV MUN SÃO JULIÃO DA BARRA;RODRIGO ANDRADE;;;
905;05/02/2023;15:00;CRFINI;2ªF - A;CVO - CSJB B;ESC SOPHIA MELLO BREYNER;RODRIGO ANDRADE;;;
244;04/02/2023;12:00;CRMJun;ÚNICA;CN_GINÁSTICA - HENR_NOG_VOL;COMPLEXO CNG;RUI CASTANHEIRA;;;
106;05/02/2023;13:00;CRCADM;ÚNICA;GAMA BARROS_V - VC_SETÚBAL;ES GAMA BARROS - CACÉM;RUI CASTANHEIRA;;;
375;04/02/2023;17:00;NSMII;;CNGINAS - OEIRAS;COMPLEXO CNG;RUI REIS;ALEXANDRE RIBEIRO;;
242;04/02/2023;15:00;CRMJun;ÚNICA;SPORTING_CP - CV_LISBOA;MULTIDESPORTIVO SCP;SAMUEL PATRÃO;;;
1109;04/02/2023;19:00;CNJBF;2ªF - SP;CN_GINÁSTICA - DUMIENSE;COMPLEXO CNG;SAMUEL PATRÃO;;;
930;04/02/2023;16:00;CRFINI;2ªF - B;CDAV - SOM;ESC SEC GAGO COUTINHO;SANDRA BENTES;;;
1046;05/02/2023;15:00;CRFCAD;2ªF - A;SCP - LVC;MULTIDESPORTIVO DO SCP;SANDRA BENTES;;;
937;05/02/2023;19:00;NSMI;A;SLBENFI - VITO SC;PAV Nº2 LUZ;SANDRA DEVEZA;SOFIA COSTA;ANDRÉ CARVALHO;GONÇALO RAMOS
491;05/02/2023;15:00;NSFII;;CRPIEDE - ESMO GC;PAV CR PIEDENSE;SERGIO PEREIRA;DANIEL FERNANDES;;
993;05/02/2023;15:30;NSFI;A;SLBENFI - LEIXOES;PAV Nº2 LUZ;SOFIA COSTA;SANDRA DEVEZA;GONÇALO RAMOS;ANDRÉ CARVALHO
