Jogo;Dia;Hora;Prova;SÉrie;Equipas;Pavilhão;1º Árbitro;2º Árbitro;JL;JL2
269;05/11/2022;16:30;CRINFF;B;"GD_SESIMBRA - ES_MAD.TORRES ""A""";PAV. MUN. SAMPAIO;MARIA FERREIRA;;;
1218;05/11/2022;18:30;CRSMIII;ÚNICA;GD_SESIMBRA - VC_SETUBAL;PAV. MUN. SAMPAIO;MARIA FERREIRA;;;
410;05/11/2022;15:00;CRINICF;C;"LUSÓFONA_VC ""B"" - FAMÕES_CA";PAV. PROFESSOR TEOTÓNIO LIMA;MARIANA TIMÓTEO;;;
389;05/11/2022;17:00;CRINICF;B;"LUSÓFONA_VC ""A"" - RC_SANTAREM";PAV. PROFESSOR TEOTÓNIO LIMA;MARIANA TIMÓTEO;;;
610;05/11/2022;15:00;CNJB1F;ÚNICA;SL_BENFICA - SC_ESPINHO;ESC. JOSÉ CARDOSO PIRES;MICHELLE FERREIRA;;;
341;05/11/2022;15:00;CRINFF;E;"ES_MAD.TORRES ""B"" - VC_SETÚBAL";ESC. SEC. MADEIRA TORRES;NICOLE SOUSA;;;
581;05/11/2022;15:30;CRJUVF;A;CF_BELENENSES - CP_ARRUPE;PAV. MESQUITA DE LISBOA;PAULO DUQUE;;;
36;05/11/2022;11:00;CRINICM;ÚNICA;SL_BENFICA - CV_OEIRAS;PAV. MESQUITA DE LISBOA;PEDRO MOUTA;;;
431;05/11/2022;13:00;CRINICF;D;"CF_BELENENSES ""A"" - ACAD_VP";PAV. MESQUITA DE LISBOA;PEDRO MOUTA;;;
652;05/11/2022;19:00;CRJUVF;D;LUSOFONA - AVP;PAV. PROFESSOR TEOTÓNIO LIMA;RICARDO MADEIRA;;;
369;05/11/2022;17:00;CRINICF;A;"SL_BENFICA - ESTORIL_PRAIA ""B""";ESC. JOSÉ CARDOSO PIRES;RUI CASTANHEIRA;MICHELLE FERREIRA;;
600;05/11/2022;15:00;CRJUVF;B;SINTRA_VOLEI - AD_MARISTA;PAV. ALTO DOS MOINHOS - TERRUGEM;SAMUEL PATRÃO;;;
36;05/11/2022;19:00;NSMI;A;SL_BENFICA - SC_CALDAS;PAV. Nº2 - LUZ;SANDRA DEVEZA;DANIEL FERNANDES;ANDRÉ CARVALHO;CATARINA PEREIRA;
328;05/11/2022;17:00;NSMII;A;CNG - CV_LISBOA;COMPLEXO CNG;SOFIA COSTA;GONÇALO MONTEIRO;;
197;05/11/2022;19:00;CRJUNM;ÚNICA;CN_GINÁSTICA - ODIVELAS_SC;COMPLEXO CNG;SOFIA COSTA;;;
752;06/11/2022;18:00;CRJUNF;D;LUSÓFONA_VC - CV_LISBOA;PAV. PROFESSOR TEOTÓNIO LIMA;ALEXANDRE RIBEIRO;;;
530;06/11/2022;15:00;CRCADF;C;SPORTING_CP - SC_TORRES;PAV. MULTIDESPORTIVO SCP;ANDRÉ CARVALHO;;;
69;06/11/2022;17:00;CRCADM;ÚNICA;SPORTING_CP - SC_TORRES;PAV. MULTIDESPORTIVO SCP;ANDRÉ CARVALHO;;;
4;06/11/2022;11:00;CRINFM;ÚNICA;SPORTING_CP - CV_OEIRAS;PAV. MULTIDESPORTIVO SCP;ANDRÉ CORREIA;;;
407;06/11/2022;16:00;NSFII;A;LUSOFONA_VC - ESMORIZ_GC;PAV. PROF. TEOTÓNIO LIMA;CARLOS SILVA;ALEXANDRE RIBEIRO;;
553;06/11/2022;15:00;CRCADF;D;CR_PIEDENSE - AV_ATLÂNTICO;PAV. CR PIEDENSE;CATARINA PEREIRA;;;
655;06/11/2022;17:00;CRJUVF;D;CR_PIEDENSE - LUSOFONA_VC;PAV. CR PIEDENSE;CATARINA PEREIRA;;;
249;06/11/2022;11:00;CRINFF;A;LOBATOS_V - AD_MARISTA;ESC. PEDRO EANES LOBATO;CATARINA RODRIGUES;;;
681;06/11/2022;15:00;CRJUNF;A;LOBATOS_V - SALES_LISBOA;ESC. PEDRO EANES LOBATO;CATARINA RODRIGUES;;;
6;06/11/2022;11:00;CRINFM;ÚNICA;SL_BENFICA - SO_MARINHENSE;Pav. Mesquita de Lisboa;DIOGO SILVA;;;
312;06/11/2022;13:30;CRINFF;D;"CF_BELENENSES - FAMÕES_CA ""B""";Pav. Mesquita de Lisboa;DIOGO SILVA;;;
582;06/11/2022;15:00;CRJUVF;A;ES_MAD.TORRES - CF_BELENENSES;ESC. SEC. MADEIRA TORRES;GABRIELA RODRIGUES;;;
723;06/11/2022;17:00;CRJUNF;C;ES_MAD TORRES - MTBA;ESC. SEC. MADEIRA TORRES;GABRIELA RODRIGUES;;;
510;06/11/2022;10:00;CRCADF;B;LUSÓFONA_VC - EF_LENCASTRE;PAV. PROF. TEOTÓNIO LIMA;GABRIELA SANTOS;;;
313;06/11/2022;12:00;CRINFF;D;"LUSÓFONA_VC ""A"" - GDS_CASCAIS";PAV. PROF. TEOTÓNIO LIMA;GABRIELA SANTOS;;;
1271;06/11/2022;16:00;CRSFIII;B;VC_SETUBAL - AV_ATLÂNTICO;PAV. MUN. ARANGUEZ;Gonçalo Monteiro;;;
490;06/11/2022;15:00;CRCADF;A;CSJ_BRITO - CDM_CARCAVELOS;PAV. COL. SÃO JOÃO BRITO;GONÇALO RAMOS;;;
451;06/11/2022;17:00;CRINICF;E;"CSJ_BRITO ""A"" - CD_MARISTAS CARC";PAV. COL. SÃO JOÃO BRITO;GONÇALO RAMOS;;;
625;06/11/2022;15:00;CRJUVF;C;EF_LENCASTRE - V4_ALL;ESC. FILIPA LENCASTRE;HUGO CRUZ;;;
779;06/11/2022;17:00;CNJNBF;B;FILIPA_LENC - CR_PIEDENSE;ESC. FILIPA LENCASTRE;HUGO CRUZ;;;
390;06/11/2022;17:00;CRINICF;B;"CN_GINÁSTICA - SINTRA_VOLEI ""A""";COMPLEXO CNG;INÊS PEREIRA;;;
132;06/11/2022;19:00;CRJUVM;ÚNICA;CN_GINASTICA - MTBA;COMPLEXO CNG;INÊS PEREIRA;;;
583;06/11/2022;15:30;CRJUVF;A;CP_ARRUPE - GDR_BOM RETIRO;COL. PEDRO ARRUPE;ION ANDRUSENCO;;;
250;06/11/2022;18:00;CRINFF;A;CP_ARRUPE - VOLLEY4ALL;COL. PEDRO ARRUPE;ION ANDRUSENCO;;;
268;06/11/2022;14:00;CRINFF;B;EF_LENCASTRE - GD_SESIMBRA;ESC. FILIPA LENCASTRE;MARIA FERREIRA;;;
1242;06/11/2022;17:00;CRSFIII;A;EF_LENCASTRE - FAMOES_CA;ESC. FILIPA LENCASTRE;MARIA FERREIRA;;;
627;06/11/2022;11:00;CRJUVF;C;SALES_ESTORIL - GDS_CASCAIS;PAV. SALESIANOS ESTORIL;MARIANA TIMÓTEO;;;
140;06/11/2022;15:00;NSFI;A;SPORT_CP - BOAVISTA_FC;PAV. JOÃO ROCHA;MICHELLE FERREIRA;ANDRÉ CORREIA;PEDRO MOUTA;RICARDO MADEIRA;
749;06/11/2022;17:00;CNJNBF;A;FAMOES_CA - ODIVELAS_SC;ESC. SEC. BRAACAMP FREIRE;NICOLE SOUSA;;;
603;06/11/2022;15:00;CRJUVF;B;ODIVELAS_SC - FAMOES_CA;ESC. SEC. BRAAMCAMP FREIRE;NICOLE SOUSA;;;
290;06/11/2022;10:00;CRINFF;C;"FAMÕES_CA ""A"" - CDM_CARCAVELOS";ESC. SEC. BRAAMCAMP FREIRE;PAULO DUQUE;;;
471;06/11/2022;10:30;CRINICF;F;"CSJ_BRITO ""B"" - SALES_LISBOA";PAV. COL. SÃO JOÃO BRITO;PAULO DUQUE;;;
370;06/11/2022;11:00;CRINICF;A;"SPORTING_CP ""A"" - SO_MARINHENSE";PAV. MULTIDESPORTIVO SCP;PEDRO MOUTA;;;
657;06/11/2022;16:00;CRJUVF;D;GD_SESIMBRA - AM_NOGUEIRA;PAV. MUN. SAMPAIO;RUI CASTANHEIRA;;;
753;06/11/2022;15:00;CRJUNF;D;AV_ATLÂNTICO - AD_MARISTA;ColÉgio Atlântico;SAMUEL PATRÃO;;;
781;06/11/2022;17:00;CNJNBF;B;AV_ATLÂNTICO - AD_MARISTA;ColÉgio Atlântico;SAMUEL PATRÃO;;;
510;06/11/2022;15:00;CNJB1M;ÚNICA;CV_OEIRAS - LEIXOES_SC;PAV. SOPHIA MELLO BREYNER;SANDRA DEVEZA;;;
408;06/11/2022;17:00;NSFII;A;CF_BELENENSES - CNG;PAV. ACÁCIO ROSA - RESTELO;SOFIA COSTA;JORGE REIS;;
43;12/11/2022;15:00;NSMI;A;SPORT_CP - SC_CALDAS;PAV. JOÃO ROCHA;ALEXANDRE RIBEIRO;MICHELLE FERREIRA;RICARDO MADEIRA;ION ANDRUSENCO;
